param_name,change
default,0
macro_1,0
macro_2,0
macro_3,0
macro_4,0
macro_5,0
macro_6,0
macro_7,0
macro_8,0
osc1_pitch,0
osc1_position,1
osc1_param2,1
osc1_amp,0
osc1_flt_routing,0
osc2_pitch,0
osc2_position,0
osc2_param2,0
osc2_amp,0
osc2_flt_routing,0
osc3_pitch,0
osc3_position,0
osc3_param2,0
osc3_amp,0
osc3_flt_routing,0
noise_color,0
noise_amp,0
noise_fltr_routing,0
feedback_amp,0
feedback_flt_routing,0
mod_osc_pitch,0
mod_osc_rngmod,0
mod_osc_phase,0
mod_osc_position,0
mod_osc_fltr_fm,0
filter1_cut_prm_1,0
filter1_bw_prm_2,0
filter1_res_prm_3,0
filter2_cut_prm_1,0
filter2_bw_prm_2,0
filter2_res_prm_3,0
seriell_parallel,0
insert1_dw_prm_1,0
insert1_prm_2,0
insert2_dw_prm_1,0
insert2_prm_2,0
master_fx1_dry_wet,0
master_fx1_prm_2,0
master_fx1_prm_3,0
master_fx1_prm_4,0
master_fx2_dry_wet,0
master_fx2_prm_2,0
master_fx2_prm_3,0
master_fx2_prm_4,0
filter1_out_gain,0
filter2_out_gain,0
filter_1_2_crossfade,0
bypass_gain,0
pan_fltr_path,0
master_volume,0
mod5_rate,0
mod6_rate,0
mod7_rate,0
mod8_rate,0
mod5_amp,0
mod6_amp,0
mod7_amp,0
mod8_amp,0
mod5_crossf_glide,0
mod6_crossf_glide,0
mod7_crossf_glide,0
mod8_crossf_glide,0
mod5_ind_lev,0
mod6_ind_lev,0
mod7_ind_lev,0
mod8_ind_lev,0
mod5_sync,0
mod6_sync,0
mod7_sync,0
mod8_sync,0
mod5_restart,0
mod6_restart,0
mod7_restart,0
mod8_restart,0
envelope1_velocity,0
envelope2_velocity,0
envelope3_velocity,0
envelope4_velocity,0
envelope1_keytracking,0
envelope2_keytracking,0
envelope3_keytracking,0
envelope4_keytracking,0
envelope1_delay,0
envelope2_delay,0
envelope3_delay,0
envelope4_delay,0
envelope1_att_tme,0
envelope2_att_tme,0
envelope3_att_tme,0
envelope4_att_tme,0
envelope1_att_lev,0
envelope2_att_lev,0
envelope3_att_lev,0
envelope4_att_lev,0
envelope1_dec_tme,0
envelope2_dec_tme,0
envelope3_dec_tme,0
envelope4_dec_tme,0
envelope1_dec_lev,0
envelope2_dec_lev,0
envelope3_dec_lev,0
envelope4_dec_lev,0
envelope1_sust_tme,0
envelope2_sust_tme,0
envelope3_sust_tme,0
envelope4_sust_tme,0
envelope1_sust_lev,0
envelope2_sust_lev,0
envelope3_sust_lev,0
envelope4_sust_lev,0
envelope1_loop_morph,0
envelope2_loop_morph,0
envelope3_loop_morph,0
envelope4_loop_morph,0
envelope1_rel_tme,0
envelope2_rel_tme,0
envelope3_rel_tme,0
envelope4_rel_tme,0
glide_time,0
vibrato_rate,0
vibrato_depth,0
uni_pitch_crossfade,0
uni_wt_pos_crossfade,0
uni_pan_crossfade,0
eq_loshelf_boost,0
eq_peak_boost,0
eq_peak_freq,0
eq_hishelf_boost,0
env_hold_reset,0
mod5_num,0
mod6_num,0
mod7_num,0
mod8_num,0
mod5_den,0
mod6_den,0
mod7_den,0
mod8_den,0
mod5_pos_sync,0
mod6_pos_sync,0
mod7_pos_sync,0
mod8_pos_sync,0
amp_on_off,0
eq_on_off,0
bypass_on_off,0
bypass_source,0
bypass_target,0
master_fx1_on_off,0
master_fx1_type,0
master_fx2_on_off,0
master_fx2_type,0
osc1_on_off,0
osc1_wavetable,1
osc1_mode,0
osc2_on_off,0
osc2_wavetable,0
osc2_mode,0
osc3_on_off,0
osc3_wavetable,0
osc3_mode,0
mod_osc_on_off,0
mod_osc_rm_osc,0
mod_osc_phase_osc,0
mod_osc_position_osc,0
mod_osc_filter_fm_osc,0
noise_on_off,0
noise_type,0
feedback_on_off,0
feedback_position,0
filter1_on_off,0
filter1_type,0
filter2_on_off,0
filter2_type,0
insert1_on_off,0
insert1_type,0
insert1_position,0
insert2_on_off,0
insert2_type,0
insert2_position,0
max_voices,0
unisono,0
unisono_spread_pitch_on_off,0
unisono_spread_wt_pos_on_off,0
unisono_spread_pan_on_off,0
voicemode,0
triggermode,0
vibrato_mono_on_off,0
master_fx1_sd_ln,0
master_fx1_sd_ld,0
master_fx1_sd_rn,0
master_fx1_sd_rd,0
master_fx2_sd_ln,0
master_fx2_sd_ld,0
master_fx2_sd_rn,0
master_fx2_sd_rd,0
pitchbend,0
aftertouch,0
hold_pedal,0
sustenuto_pedal,0
